Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H2, H3, H4",MountingHole_4.3mm_M4_Pad,4,MountingHole_Pad_MP,
"J1, J2",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07,
"J10, J20",PinHeader_1x03_P2.54mm_Vertical,2,LED4,
J11,PinHeader_1x03_P2.54mm_Vertical,1,LED5,
J12,PinHeader_1x03_P2.54mm_Vertical,1,LED6,
J13,PinHeader_1x03_P2.54mm_Vertical,1,LED7,
J14,PinHeader_1x03_P2.54mm_Vertical,1,LED8,
"J15, J17",PinHeader_1x01_P2.54mm_Vertical,2,GND,
J16,PinHeader_1x01_P2.54mm_Vertical,1,5V,
J18,PinHeader_1x01_P2.54mm_Vertical,1,24V,
J19,Wago_734-132_1x02_P3.50mm_Vertical,1,Conn_01x02,
"J3, J4",DIP-14_W7.62mm,2,SN74AHCT125N,
J7,PinHeader_1x03_P2.54mm_Vertical,1,LED1,
J8,PinHeader_1x03_P2.54mm_Vertical,1,LED2,
J9,PinHeader_1x03_P2.54mm_Vertical,1,LED3,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,8,220,
