Designator,Mid X,Mid Y,Rotation,Layer
J1,106.09,-108.775,180.0,top
J10,165.354,-76.454,270.0,top
J11,165.1,-116.84,270.0,top
J12,165.085,-127.0,270.0,top
J13,165.085,-96.266,270.0,top
J14,165.1,-106.68,270.0,top
J15,150.974,-81.326,0.0,top
J16,150.974,-68.626,0.0,top
J17,93.374,-81.321,0.0,top
J18,93.374,-68.631,0.0,top
J19,111.026,-50.292,180.0,top
J2,121.29,-108.795,180.0,top
J20,92.38,-106.745,0.0,top
J3,135.128,-101.092,0.0,top
J4,135.128,-122.936,0.0,top
J7,165.354,-86.36,270.0,top
J8,165.1,-66.04,270.0,top
J9,165.1,-56.134,270.0,top
R1,161.29,-91.44,180.0,top
R2,161.29,-71.12,180.0,top
R3,161.036,-60.706,180.0,top
R4,161.29,-81.28,180.0,top
R5,161.29,-121.666,180.0,top
R6,161.036,-131.826,180.0,top
R7,161.036,-101.346,180.0,top
R8,161.29,-111.76,180.0,top
